BENNER,ESTOQUE,ANAMNESE,MICRO,MONITO,MOUSE,ACESS,ERRO,IMPRESSORA,SIHOSP,TEMPO
0,0,0,1.73,0,0,0,0,0,0,1-2H
0,0,0,10.14,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,5.08,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,7.02,0,MAIOR 4H
5.06,5.06,0,0,0,0,0,5.06,0,0,MAIOR 4H
0,0,0,11.84,0,0,0,0,11.84,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,1.01,1-2H
0,0,0,0,0,0,0,0,8.04,0,MAIOR 4H
1.08,0,0,0,0,0,1.08,0,0,0,1-2H
0,2.17,0,0,0,0,0,0,0,0,2-4H
2.08,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,11.91,0,0,0,11.91,0,0,MAIOR 4H
0,0,0,6.06,0,0,0,6.06,0,6.06,MAIOR 4H
0,0,0,0,0,0,9.91,0,0,0,MAIOR 4H
0,0,0,1.13,0,0,0,0,0,0,1-2H
0,0,0,1.92,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,1.86,0,1-2H
0,0,0,0,0,0,11.78,0,0,0,MAIOR 4H
0,0,0,0,0,0,2.67,0,0,2.67,2-4H
0,0,0,0,0,0,0,2.12,0,0,2-4H
0,0,0,9.98,0,0,9.98,0,0,0,MAIOR 4H
0,0,0,0,0,0,10.22,10.22,0,0,MAIOR 4H
3.98,0,0,0,0,0,0,3.98,0,0,2-4H
0,0,0,0,1.87,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,9.21,0,MAIOR 4H
0,0,0,0,0,0,0,7.1,0,0,MAIOR 4H
0,0,0,0,1.85,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,1.1,0,1-2H
0,0,0,9.97,9.97,0,0,0,0,0,MAIOR 4H
0,0,0,5.93,5.93,0,0,0,0,0,MAIOR 4H
4.23,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,7.03,0,0,MAIOR 4H
0,0,0,0,6.69,0,0,0,0,0,MAIOR 4H
0,0,0,4.9,0,0,0,0,0,0,MAIOR 4H
5.98,0,0,0,0,0,0,5.98,0,0,MAIOR 4H
0,0,0,0,0,0,0,1.25,0,0,1-2H
0,0,0,3.86,0,3.86,0,0,0,0,2-4H
0,0,0,3.97,0,3.97,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,3.18,0,2-4H
0,0,0,0,0,3.7,0,0,0,0,2-4H
0,0,0,2.05,0,2.05,0,0,0,0,2-4H
3.86,0,0,0,0,0,0,3.86,0,0,2-4H
0,0,0,3.93,0,0,3.93,0,0,0,2-4H
0,0,0,5.25,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,2.05,0,2-4H
11.99,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,7.2,MAIOR 4H
0,0,0,0,0,0,1.17,0,0,0,1-2H
0,0,0,0,0,0,0,3.96,0,0,2-4H
0,0,0,1.13,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,3.93,0,0,0,2-4H
0,0,0,1.94,0,0,0,0,1.94,0,1-2H
0,0,0,0,0,0,0,0,0,2.16,2-4H
0,0,0,2.79,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,11.03,0,0,MAIOR 4H
4.12,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,3.08,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,9.88,0,9.88,0,MAIOR 4H
0,0,0,1.02,0,0,0,0,0,0,1-2H
0,0,0,0,8,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,1.17,1-2H
0,0,0,0,0,0,0,0,6.86,0,MAIOR 4H
0,0,0,0,0,0,1.17,0,0,1.17,1-2H
0,0,0,3.01,0,0,3.01,0,0,0,2-4H
0,0,0,0,0,0,0,2.36,0,0,2-4H
0,0,0,1.02,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,7.02,0,MAIOR 4H
0,0,0,0,0,0,1.84,0,0,0,1-2H
0,0,0,0,0,0,0,0,8.08,0,MAIOR 4H
0,0,0,0,0,0,0,0,2.85,0,2-4H
0,0,0,3.98,0,0,0,0,0,0,2-4H
1.26,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,1.04,0,0,1-2H
2.97,0,0,2.97,0,0,0,0,0,0,2-4H
0,0,0,2.98,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,8.25,0,MAIOR 4H
0,0,0,0,0,0,1.7,0,0,0,1-2H
0,0,0,0,0,3.2,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,3.05,0,2-4H
0,0,0,3.88,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,4.8,0,0,MAIOR 4H
0,0,0,3.05,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,3.07,0,2-4H
0,0,0,0,0,0,0,2.08,0,0,2-4H
0,0,0,11.16,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,2.09,2-4H
0,0,0,0,0,0,0,0,11.8,0,MAIOR 4H
0,0,0,2.03,0,0,2.03,0,0,0,2-4H
0,0,0,1.3,0,0,0,1.3,0,0,1-2H
0,0,0,0,0,0,0,0,0,5.04,MAIOR 4H
0,0,0,0,0,0,0,0,4.02,0,MAIOR 4H
0,0,0,0,0,0,6.83,0,0,6.83,MAIOR 4H
0,0,0,11.81,0,0,0,0,0,0,MAIOR 4H
0,0,0,1.26,0,0,0,0,0,0,1-2H
0,0,0,3.1,0,0,0,0,0,0,2-4H
0,0,0,7.85,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,1.07,0,0,0,1-2H
0,0,0,8.18,0,0,0,0,0,0,MAIOR 4H
3.01,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,1.14,0,0,0,1-2H
0,0,0,0,0,5.03,0,0,0,0,MAIOR 4H
0,0,0,5.82,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,4.06,0,0,0,MAIOR 4H
1.18,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,5.8,0,MAIOR 4H
0,0,0,0,0,0,0,0,7.01,0,MAIOR 4H
0,0,0,0,0,0,0,0,5.94,0,MAIOR 4H
0,0,0,0,0,0,1.03,0,0,0,1-2H
1.27,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,4.69,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,3.05,0,2-4H
0,0,0,0,0,0,1.2,0,0,0,1-2H
0,0,0,1.13,0,0,0,0,0,0,1-2H
0,0,0,0,1.08,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,3.05,0,2-4H
0,0,0,3.28,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,2.21,0,0,0,2-4H
0,0,0,0,4.96,0,0,0,0,0,MAIOR 4H
0,0,0,5.08,5.08,0,0,0,0,0,MAIOR 4H
0,4.89,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,4.02,0,MAIOR 4H
0,0,0,0,0,0,5.96,0,0,5.96,MAIOR 4H
0,0,0,0,0,0,0,1.98,0,0,1-2H
0,0,0,0,0,0,0,2,0,0,1-2H
0,0,0,0,0,0,1.8,0,0,0,1-2H
0,0,0,1.02,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,8.99,0,0,MAIOR 4H
0,0,0,1.35,0,0,0,0,0,0,1-2H
0,0,0,1.31,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,2.27,0,2-4H
0,0,0,3.37,0,0,3.37,0,0,0,2-4H
0,0,0,0,0,0,0,3.01,0,0,2-4H
0,0,0,3.78,0,0,0,0,0,0,2-4H
3.72,0,0,0,0,0,0,3.72,0,0,2-4H
0,0,0,0,0,0,0,10.14,0,0,MAIOR 4H
3.89,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,3.11,0,0,0,0,2-4H
0,0,0,0,0,0,0,6.22,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,10.04,0,MAIOR 4H
0,0,0,0,10.25,0,0,0,0,0,MAIOR 4H
0,0,0,0,1.99,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,0,11.13,MAIOR 4H
0,0,0,0,0,0,0,1.27,1.27,0,1-2H
6,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,6.18,0,6.18,0,0,0,0,MAIOR 4H
0,0,0,6.18,0,6.18,0,0,0,0,MAIOR 4H
0,0,0,6.03,0,0,0,0,0,0,MAIOR 4H
0,0,0,7.13,0,0,0,0,0,0,MAIOR 4H
0,0,0,1.97,0,0,0,0,0,0,1-2H
0,0,0,7.19,0,0,7.19,0,0,7.19,MAIOR 4H
0,0,0,1.24,0,0,0,0,0,0,1-2H
0,0,0,5.25,0,5.25,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,5.21,0,0,MAIOR 4H
0,0,0,0,6.96,0,0,0,0,0,MAIOR 4H
0,0,0,1.19,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,2.23,0,0,2-4H
0,0,0,0,0,0,0,2.9,0,0,2-4H
0,0,0,0,0,3.01,0,0,0,0,2-4H
0,0,0,2.22,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,2.26,0,2-4H
4.95,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,5.78,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,1.28,0,1-2H
0,0,0,0,0,0,1.03,0,0,0,1-2H
0,0,0,1.14,0,0,0,0,0,0,1-2H
0,0,0,5.85,0,0,0,0,0,0,MAIOR 4H
0,0,0,2.29,0,0,0,0,0,0,2-4H
0,0,0,7.84,0,0,0,0,0,0,MAIOR 4H
3.9,0,0,0,0,0,0,3.9,0,0,2-4H
0,0,0,0,0,2.08,0,0,0,0,2-4H
1.2,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,2.76,0,0,0,2-4H
1.04,0,0,0,0,0,1.04,1.04,0,0,1-2H
0,0,0,0,0,0,0,1.06,0,0,1-2H
0,0,0,0,0,0,1.97,0,0,0,1-2H
0,0,0,0,0,0,2.63,0,0,0,2-4H
0,0,0,0,0,0,0,0,3.02,0,2-4H
0,0,0,0,0,0,0,1.11,0,0,1-2H
0,0,0,0,0,0,0,0,1.28,0,1-2H
0,0,0,0,0,0,0,1.29,0,0,1-2H
0,0,0,3.25,0,0,0,0,0,0,2-4H
0,0,0,3.3,0,0,0,0,0,0,2-4H
0,0,0,3.02,0,0,0,0,0,0,2-4H
0,0,0,3.02,0,0,0,0,0,0,2-4H
0,0,0,0,3.12,0,0,0,0,0,2-4H
0,0,0,5.28,0,0,5.28,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,1.97,0,1-2H
0,0,0,0,0,0,0,1.71,0,0,1-2H
0,0,0,0,0,0,4.23,0,0,4.23,MAIOR 4H
0,0,0,0,0,0,0,0,5.34,0,MAIOR 4H
0,0,0,0,0,0,0,1.36,0,0,1-2H
0,0,0,0,1.31,0,0,0,0,0,1-2H
0,0,0,4.95,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,7.34,0,MAIOR 4H
8.04,0,0,0,0,0,0,0,0,0,MAIOR 4H
1.96,0,0,0,0,0,1.96,1.96,0,0,1-2H
0,0,0,0,0,0,0,7.72,0,0,MAIOR 4H
0,0,0,1.19,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,9.35,0,MAIOR 4H
0,0,0,6.88,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,6.31,0,MAIOR 4H
0,1.94,0,0,0,0,1.94,0,0,0,1-2H
1.98,0,0,0,0,0,0,0,0,1.98,1-2H
0,0,0,0,0,0,0,0,6.42,0,MAIOR 4H
0,0,0,0,5.3,0,0,0,0,0,MAIOR 4H
0,0,0,0,6.26,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,2.01,0,0,2-4H
0,0,0,0,0,3.71,0,0,0,0,2-4H
0,0,0,0,0,0,0,4.76,0,0,MAIOR 4H
0,0,0,4.03,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,10.96,0,0,MAIOR 4H
0,0,0,8.04,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,11.23,0,MAIOR 4H
0,0,0,0,0,0,1.65,0,0,1.65,1-2H
0,0,0,0,4.2,0,0,0,0,0,MAIOR 4H
0,0,0,1.24,0,0,0,0,0,0,1-2H
