BENNER,ESTOQUE,ANAMNESE,MICRO,MONITO,MOUSE,ACESS,ERRO,IMPRESSORA,SIHOSP,TEMPO
0,0,0,0,0,0,0,0,0,0,0,998900463
0,0,0,0,0,0,0,0,1,0,1,974097222
0,0,0,0,0,0,0,0,1,0,1,95712963
0,0,0,0,0,0,1,0,0,0,0,968298611
0,0,0,0,0,0,0,0,0,1,7,942476852
0,0,0,0,0,0,0,0,1,0,4,001956019
0,0,0,0,0,0,0,0,0,0,3,883761574
0,0,0,0,0,0,0,0,0,0,103,0091782
0,0,0,0,0,0,0,0,0,0,4,905613426
0,0,0,0,0,0,0,0,0,0,182,1881019
0,0,0,0,0,0,0,0,0,0,3,8865625
0,0,0,0,0,0,1,0,0,0,0,686273148
1,0,0,0,0,0,1,0,0,0,0,674039352
0,0,0,0,0,0,1,0,0,0,0,791574074
0,0,0,0,1,0,0,0,0,0,1,931909722
0,0,0,0,0,0,0,0,0,0,2,242534722
0,0,0,0,0,0,0,0,0,0,0,330185185
0,0,0,0,0,0,0,0,0,0,40,69780093
0,0,0,1,0,0,0,0,0,0,0,047835648
0,0,0,1,0,0,0,0,0,0,0,987986111
0,0,0,0,0,0,0,1,0,0,0,013101852
0,0,0,0,0,0,0,0,0,0,38,73456019
0,0,0,0,0,0,1,0,0,0,4,774965278
0,0,0,1,0,0,0,0,0,0,0,021076389
0,0,0,0,0,0,0,0,0,0,7,062164352
0,0,0,0,0,0,0,0,1,0,0,062372685
0,0,0,1,0,0,1,0,0,0,38,02728009
0,0,0,0,0,0,0,0,0,1,1,157141204
0,0,0,0,0,0,0,1,0,0,0,742314815
0,0,0,0,0,0,0,0,0,0,14,28899306
0,0,0,0,0,0,0,0,0,0,3,066805556
0,0,0,0,0,0,0,0,0,0,3,151134259
0,0,0,0,0,0,0,0,0,0,1,0909375
0,0,0,0,0,0,1,0,0,0,0,234027778
0,0,0,1,0,0,0,0,0,0,2,008796296
0,0,0,0,0,0,0,0,0,0,36,03976852
0,0,0,0,1,0,0,0,0,0,2,280868056
0,0,0,0,0,0,0,0,0,0,1,926527778
0,0,0,1,0,0,0,0,1,0,2,023946759
0,0,0,0,0,0,0,0,1,0,0,079861111
0,0,0,0,0,0,0,0,1,0,2,0121875
0,0,0,0,0,0,1,0,0,0,2,009282407
0,0,0,0,0,0,1,0,0,0,0,048321759
