TEMPO,NRO_IMPACTO,NRO_AVALIACAO,TIPO
1.09,4,6,IMPRESSORA
8.26,4,6,MICRO
8.21,4,6,MICRO
2.07,4,6,IMPRESSORA
1.27,4,6,BENNER
5.93,0,6,ERRO
11.06,0,6,ERRO
2.97,4,6,IMPRESSORA
1.05,4,6,ERRO
1.1,3,6,IMPRESSORA
4.85,1,6,MICRO
2.17,4,6,MICRO
1.35,4,6,ACESSO
4.94,1,6,MICRO
1.07,0,6,ERRO
7.85,4,6,MICRO
1.96,4,6,ERRO
2.25,4,6,ACESSO
3,4,6,MICRO
1.99,4,6,BENNER
4.75,4,6,MICRO
3.75,4,6,SIHOSP
2.75,1,6,IMPRESSORA
1.06,4,6,ERRO
1.03,4,6,MICRO
1.32,4,-1,ACESSO
1.69,4,-6,SIHOSP
1.25,4,6,MICRO
9.73,4,-6,ACESSO
2.17,1,6,ERRO
1.78,4,6,SIHOSP
1.04,4,6,MICRO
1,4,6,MICRO
3.96,3,6,ERRO
7.15,4,6,IMPRESSORA
2.98,3,-6,MICRO
5.83,4,6,MICRO
4.87,4,6,MICRO
1.01,4,6,MICRO
3.79,4,6,MICRO
1.14,4,6,BENNER
4,4,6,IMPRESSORA
1.74,4,6,IMPRESSORA
4,4,6,ERRO
3.98,4,6,BENNER
1.02,4,6,ERRO
11.96,4,6,IMPRESSORA
4.07,4,6,ERRO
6.38,4,6,MICRO
2,4,6,IMPRESSORA
6.07,4,6,IMPRESSORA
4.04,4,6,BENNER
1.13,4,6,IMPRESSORA
2.83,4,-1,SIHOSP
1.82,3,6,ERRO
6.99,4,6,ERRO
10.94,0,6,ERRO
8.72,4,6,SIHOSP
1.05,4,6,MICRO
5.68,4,6,MICRO
6.82,0,6,ERRO
7.98,4,6,IMPRESSORA
3.03,4,6,MICRO
2.12,4,6,MICRO
1.04,4,6,ACESSO
2.19,4,6,IMPRESSORA
2.99,4,6,SIHOSP
9.17,4,6,SIHOSP
2.08,4,6,IMPRESSORA
7.08,4,6,ERRO
3.01,4,6,ACESSO
4.89,4,6,MICRO
3.71,4,6,IMPRESSORA
3.12,4,6,MICRO
3.19,4,6,MICRO
1.18,4,6,SIHOSP
4.97,4,6,IMPRESSORA
1.18,4,6,BENNER
5.99,3,-1,SIHOSP
2.91,4,6,IMPRESSORA
4.13,3,6,ERRO
11.93,4,6,BENNER
3.79,4,6,IMPRESSORA
10.88,4,6,SIHOSP
10.01,4,6,MICRO
1.07,4,6,IMPRESSORA
2.97,4,6,IMPRESSORA
8.03,4,6,MICRO
1.14,4,6,ERRO
1.19,4,6,SIHOSP
1.02,4,6,BENNER
1.19,4,6,ACESSO
2.95,4,6,IMPRESSORA
4.15,4,6,ACESSO
4.02,4,6,ACESSO
2.74,4,6,IMPRESSORA
4.06,4,6,SIHOSP
4.79,4,6,IMPRESSORA
1.05,4,6,SIHOSP
1.04,4,6,SIHOSP
1.75,4,6,SIHOSP
6.75,4,6,BENNER
1.82,4,6,ERRO
7.25,4,6,MICRO
1.08,4,6,IMPRESSORA
3.28,4,6,SIHOSP
2.99,4,6,ACESSO
1.25,4,6,MICRO
3.04,0,6,ERRO
2.18,4,6,MICRO
5.11,3,6,ERRO
4.05,4,6,IMPRESSORA
5.65,4,6,IMPRESSORA
2.69,4,6,SIHOSP
5.08,4,6,MICRO
1.07,4,6,BENNER
1.13,4,6,MICRO
1.08,4,6,MICRO
4.98,4,6,MICRO
4.02,4,6,ERRO
3.94,4,6,SIHOSP
3.91,4,6,IMPRESSORA
1.29,4,6,SIHOSP
1.36,4,6,IMPRESSORA
3.91,4,6,MICRO
4.87,4,6,ERRO
4.04,4,6,MICRO
1.09,4,6,MICRO
4.99,4,6,BENNER
1.1,4,6,SIHOSP
1.82,4,6,MICRO
6.04,4,6,IMPRESSORA
7.01,4,6,ACESSO
10.97,4,6,SIHOSP
1.65,4,6,ERRO
4.81,4,6,SIHOSP
2.78,4,6,SIHOSP
6.06,4,6,ERRO
2.05,4,6,ACESSO
4.1,4,6,MICRO
1.17,4,6,MICRO
1.07,4,6,MICRO
5.84,4,6,ERRO
1.03,4,6,MICRO
5.8,4,6,SIHOSP
2.98,1,6,IMPRESSORA
2.9,0,6,BENNER
1.69,4,6,IMPRESSORA
1.19,4,6,MICRO
5.98,4,6,ERRO
1.03,4,6,MICRO
3.94,4,6,MICRO
3.24,4,6,MICRO
3.95,4,6,ACESSO
1.28,4,6,IMPRESSORA
1.21,4,6,MICRO
5.73,4,6,MICRO
2.96,4,6,ERRO
1.81,1,6,SIHOSP
2.09,1,6,IMPRESSORA
8.07,4,6,ERRO
7.18,4,6,BENNER
3.03,0,6,ERRO
1.08,4,6,IMPRESSORA
6.01,4,6,IMPRESSORA
3.21,0,6,BENNER
4.72,4,6,SIHOSP
3.03,4,6,BENNER
6.82,4,-1,ERRO
3.02,4,6,MICRO
3.96,4,6,IMPRESSORA
5.95,4,6,ERRO
1.1,4,6,MICRO
1.86,4,-1,SIHOSP
1.06,4,6,MICRO
1.41,4,6,MICRO
4.78,4,6,ERRO
6.05,4,-1,MICRO
3.97,0,6,ERRO
1.08,4,6,MICRO
5.02,3,6,IMPRESSORA
1.22,4,6,BENNER
3.83,4,6,IMPRESSORA
7.04,4,6,MICRO
5.73,4,6,MICRO
2.09,4,6,IMPRESSORA
10.82,4,6,IMPRESSORA
1.13,4,6,SIHOSP
3,4,6,IMPRESSORA
4.04,3,6,SIHOSP
