TEMPO,NRO_IMPACTO,QTD_HORAS_PREVISAO,QTD_PARTICIPANTE,TIPO
1,4,1,1,SIHOSP
1,4,1,1,MICRO
2,4,2,1,MICRO
1,4,1,1,MICRO
0.92,3,1,1,BENNER
1,4,1,1,MICRO
3,4,2,1,MICRO
1,4,1,1,MICRO
1,4,1,1,IMPRESSORA
1,4,1,1,IMPRESSORA
2,4,2,1,MICRO
0.01,4,0.15,1,ACESSO
0.02,3,1,1,MICRO
1,4,1,1,IMPRESSORA
1,4,1,1,IMPRESSORA
1,4,1,1,MICRO
1,4,1,1,IMPRESSORA
0.01,3,0.2,1,SIHOSP
1,4,1,1,IMPRESSORA
1,4,1,1,MICRO
0.02,3,1,1,SIHOSP
1.04,3,1,1,ERRO
1,4,1,1,MICRO
0.02,4,1,1,SIHOSP
1,4,1,1,IMPRESSORA
0.01,3,0.2,1,BENNER
1,4,1,1,IMPRESSORA
6,3,1,1,SIHOSP
2,4,2,1,MICRO
1,4,1,1,IMPRESSORA
0.25,3,0.15,1,ERRO
0.02,3,0.1,1,SIHOSP
0.01,3,0.3,1,ERRO
2,4,2,1,MICRO
2,4,2,1,MICRO
0.58,3,0.35,1,SIHOSP
0.17,4,1,1,MICRO
1,3,1,1,SIHOSP
0.25,3,0.15,1,SIHOSP
2,4,2,1,MICRO
0.32,3,0.19,1,BENNER
0.75,3,0.75,1,ERRO
0.17,4,1,1,MICRO
1,4,1,1,IMPRESSORA
0.25,4,0.15,1,BENNER
0.08,3,0.5,1,BENNER
1.5,3,1.3,1,MICRO
9.2,3,6,1,SIHOSP
25,3,30,1,ERRO
8.58,3,3,1,SIHOSP
0.03,3,1.5,1,SIHOSP
0.25,3,0.15,1,BENNER
0.01,3,0.3,1,ERRO
0.5,4,0.3,1,IMPRESSORA
1.5,3,1.5,1,SIHOSP
0.08,3,0.5,1,ERRO
10,3,10,1,ACESSO
1,4,1,1,MICRO
0.02,3,0.1,1,SIHOSP
0.25,3,0.15,1,ERRO
1,4,8,1,SIHOSP
0.25,3,0.15,1,ACESSO
2,3,2,1,ERRO
0.17,4,1,1,MICRO
2,4,2,1,SIHOSP
0.17,4,1,1,MICRO
0.9,3,0.56,1,IMPRESSORA
1,3,1,1,ERRO
2,4,0.3,1,IMPRESSORA
1,3,1,1,SIHOSP
0.02,4,1,1,MICRO
1,3,1,1,ERRO
0.21,4,0.3,1,IMPRESSORA
0.02,4,1,1,MICRO
0.17,4,1,1,MICRO
3,4,1,1,MICRO
0.02,4,1,1,MICRO
0.05,3,0.15,1,BENNER
0.02,3,1,1,ACESSO
0.08,3,0.05,1,SIHOSP
1,3,1,1,ACESSO
0.08,3,0.5,1,BENNER
0.43,3,0.26,1,BENNER
0.17,4,1,1,MICRO
2,3,2,1,MICRO
1,3,1,1,SIHOSP
0.92,4,1,1,ACESSO
2.15,3,2.15,1,BENNER
16,3,1,1,SIHOSP
2,3,1,1,ERRO
1,4,1,1,MICRO
0.5,3,0.3,1,BENNER
0.5,4,0.3,1,MICRO
0.5,4,0.3,1,MICRO
