TEMPO,NRO_IMPACTO,QTD_HORAS_PREVISAO,QTD_PARTICIPANTE,TIPO
0.5,4,0.3,1,MICRO
0.17,3,1,1,MICRO
0.17,4,1,1,MICRO
0.5,4,0.3,1,IMPRESSORA
0.25,3,0.15,1,ACESSO
0.02,4,1,1,MICRO
0.33,3,0.3,1,BENNER
0.01,4,2,1,MICRO
0.17,3,1,1,MICRO
0.17,4,1,1,MICRO
0.17,3,0.15,1,ERRO
1,4,1,1,MICRO
0.01,3,0.3,1,ERRO
1,3,1,1,BENNER
5.37,3,5,1,SIHOSP
1.3,3,1.3,1,SIHOSP
2,3,2,1,BENNER
0.04,4,1,1,MICRO
2,3,2,1,ERRO
1,4,1,1,MICRO
8,3,8,1,SIHOSP
0.02,4,1,1,MICRO
1,4,1,1,ACESSO
0.5,4,0.3,1,MICRO
0.42,4,0.4,1,ACESSO
0.5,3,0.3,1,SIHOSP
0.08,4,1,1,MICRO
1,4,1,1,MICRO
0.01,3,0.3,1,ACESSO
3,3,0.2,1,SIHOSP
0.5,4,0.3,1,IMPRESSORA
0.93,3,2.1,1,SIHOSP
1,4,1,1,MICRO
0.5,3,0.3,1,BENNER
0.33,4,0.3,1,IMPRESSORA
16,3,16,1,BENNER
0.5,4,0.3,1,BENNER
0.17,3,0.5,1,BENNER
0.5,4,0.3,1,IMPRESSORA
0.5,4,0.3,1,IMPRESSORA
0.08,4,0.15,1,BENNER
1,3,0.3,1,SIHOSP
0.17,4,1,1,MICRO
1.14,3,1.14,1,SIHOSP
2,3,2,1,SIHOSP
0.35,3,21,1,ERRO
0.1,3,6,1,ERRO
0.08,3,0.5,1,BENNER
0.5,4,0.3,1,IMPRESSORA
1,3,1,1,BENNER
4,3,4,1,BENNER
0.33,4,0.3,1,IMPRESSORA
0.33,3,0.2,1,ACESSO
1,3,1,1,ACESSO
0.02,3,1,1,ERRO
1,3,1,1,BENNER
1,4,1,1,MICRO
0.5,4,0.3,1,IMPRESSORA
0.5,4,0.3,1,IMPRESSORA
0.01,3,0.3,1,SIHOSP
2,3,0.15,1,SIHOSP
2,4,1,1,MICRO
0.5,3,0.3,1,BENNER
0.17,3,0.1,1,SIHOSP
0.5,4,0.3,1,MICRO
30,4,1,1,ERRO
2,4,2.3,1,MICRO
102,3,1.02,1,ERRO
0.01,4,0.3,1,MICRO
3,3,3,1,BENNER
0.01,3,0.3,1,SIHOSP
2,4,2,1,ERRO
0.25,3,0.15,1,SIHOSP
1,4,1,1,IMPRESSORA
0.5,3,0.3,1,BENNER
2,3,2,1,SIHOSP
1,4,1,1,IMPRESSORA
0.67,4,0.3,1,IMPRESSORA
0.67,4,0.3,1,IMPRESSORA
0.25,3,0.15,1,SIHOSP
0.17,4,1,1,MICRO
0.17,4,1,1,MICRO
1,4,1,1,IMPRESSORA
0.42,3,10,1,MICRO
0.67,3,0.45,1,ERRO
0.58,3,0.35,1,BENNER
0.5,4,0.3,1,IMPRESSORA
0.08,3,0.5,1,BENNER
1,3,1,1,SIHOSP
0.5,3,0.3,1,BENNER
0.65,3,39,1,BENNER
0.25,3,0.15,1,SIHOSP
0.17,3,0.1,1,ERRO
0.25,3,0.15,1,ERRO
0.17,4,1,1,MICRO
0.01,3,0.3,1,SIHOSP
0.33,4,0.3,1,IMPRESSORA
0.01,3,0.45,1,BENNER
4,3,4,1,SIHOSP
0.33,3,0.5,1,SIHOSP
0.01,3,0.3,1,SIHOSP
0.5,3,0.5,1,ERRO
2,3,2,1,ACESSO
0.17,4,1,1,MICRO
0.17,4,1,1,MICRO
0.5,3,0.3,1,SIHOSP
0.25,3,0.15,1,SIHOSP
0.25,4,0.16,1,ERRO
1,4,1,1,ERRO
0.17,4,1,1,MICRO
0.17,4,1,1,SIHOSP
0.25,3,0.15,1,ERRO
0.25,3,0.15,1,BENNER
0.58,3,0.35,1,BENNER
4,4,4,1,MICRO
0.5,4,0.3,1,IMPRESSORA
0.5,4,0.3,1,IMPRESSORA
10,4,1,1,MICRO
1,3,1,1,SIHOSP
1,3,1,1,BENNER
0.67,4,0.3,1,IMPRESSORA
0.5,4,0.3,1,IMPRESSORA
0.25,3,0.15,1,ERRO
0.17,4,1,1,MICRO
0.04,4,1,1,MICRO
0.02,3,1,1,MICRO
0.25,3,0.15,1,ACESSO
0.25,3,0.15,1,SIHOSP
0.5,4,0.3,1,IMPRESSORA
0.33,4,1,1,MICRO
0.17,3,1,1,SIHOSP
1,4,1,1,MICRO
0.08,4,1,1,MICRO
0.25,3,0.15,1,ERRO
1,3,1,1,ERRO
0.57,3,0.3,1,ERRO
1,4,2,1,MICRO
0.25,3,0.15,1,ERRO
0.17,4,1,1,IMPRESSORA
0.17,4,1,1,MICRO
2,4,1,1,MICRO
0.01,3,0.3,1,SIHOSP
0.17,3,0.1,1,BENNER
1.33,4,1,1,ACESSO
0.5,3,0.3,1,SIHOSP
0.5,4,0.3,1,IMPRESSORA
0.33,4,0.3,1,IMPRESSORA
0.25,3,0.15,1,ERRO
0.5,4,0.3,1,MICRO
0.5,4,0.3,1,ERRO
1,4,1,1,MICRO
0.5,4,0.3,1,MICRO
0.5,4,0.3,1,MICRO
2,4,2.5,1,MICRO
0.25,3,0.15,1,SIHOSP
0.01,3,0.3,1,SIHOSP
0.5,3,0.3,1,BENNER
0.25,3,0.15,1,MICRO
0.01,3,0.35,1,BENNER
0.08,4,1,1,IMPRESSORA
1.53,3,0.15,1,BENNER
0.17,4,1,1,IMPRESSORA
2.3,4,0.3,1,MICRO
0.25,3,0.15,1,ERRO
0.5,4,0.3,1,ERRO
1,4,1,1,ERRO
0.5,4,0.3,1,IMPRESSORA
0.5,4,1,1,MICRO
1,3,1,1,SIHOSP
1,4,1,1,ACESSO
2,3,2,1,SIHOSP
0.01,3,0.3,1,SIHOSP
1,4,1,1,MICRO
0.25,3,0.15,1,SIHOSP
0.5,3,0.3,1,ACESSO
0.01,4,0.35,1,MICRO
3.55,4,3.5,1,MICRO
0.01,4,0.4,1,MICRO
0.04,4,1,1,MICRO
0.5,4,0.3,1,MICRO
0.5,4,0.3,1,IMPRESSORA
1,4,1,1,MICRO
0.08,3,0.5,1,ACESSO
1,4,1,1,ACESSO
0.5,4,0.3,1,IMPRESSORA
1,3,3,1,MICRO
0.01,3,0.2,1,BENNER
1,4,1,1,MICRO
1,4,1,1,ERRO
2,1,2,1,MICRO
0.5,4,0.3,1,IMPRESSORA
0.25,3,15,1,ACESSO
0.25,3,0.15,1,SIHOSP
2,3,2,1,ERRO
0.01,3,0.25,1,BENNER
2,3,2,1,ERRO
0.5,4,0.3,1,IMPRESSORA
2,3,2,1,BENNER
0.5,4,0.3,1,IMPRESSORA
1,4,1,1,MICRO
2,4,2,1,MICRO
0.33,4,0.3,1,IMPRESSORA
0.5,4,0.3,1,MICRO
0.67,3,0.4,1,SIHOSP
0.17,4,1,1,MICRO
1,3,1,1,SIHOSP
0.5,4,0.3,1,ERRO
1,4,1,1,ERRO
0.5,4,0.3,1,IMPRESSORA
1,4,1,1,ACESSO
2.5,3,2.5,1,ERRO
0.5,3,0.3,1,ERRO
1,3,1,1,ERRO
1,4,1,1,ERRO
0.37,3,0.3,1,SIHOSP
0.42,3,45,1,ERRO
0.17,3,1,1,MICRO
0.5,3,0.3,1,SIHOSP
0.5,4,0.3,1,IMPRESSORA
0.25,3,0.15,1,ERRO
1.05,4,1,1,ERRO
0.25,3,0.3,1,ERRO
1,3,1,1,BENNER
2,3,2,1,ERRO
1,4,1,1,BENNER
0.17,4,1,1,MICRO
0.17,4,1,1,MICRO
0.25,4,0.15,1,BENNER
0.5,4,0.3,1,MICRO
0.5,4,0.3,1,IMPRESSORA
0.5,4,0.2,1,IMPRESSORA
0.33,4,0.3,1,IMPRESSORA
0.5,4,0.3,1,IMPRESSORA
0.5,4,0.5,1,ERRO
4,4,1,1,MICRO
10,4,1,1,SIHOSP
0.17,4,1,1,MICRO
0.17,4,1,1,MICRO
2,3,1,1,SIHOSP
0.33,4,0.3,1,IMPRESSORA
0.8,3,1,1,ERRO
0.5,4,0.3,1,MICRO
1.52,3,1.52,1,ERRO
0.25,4,0.15,1,SIHOSP
1.3,4,1.35,1,MICRO
0.38,3,0.15,1,ERRO
0.58,3,0.35,1,BENNER
2,3,1,1,SIHOSP
3.08,4,3.08,1,MICRO
0.17,4,0.1,1,SIHOSP
0.17,4,0.1,1,SIHOSP
0.5,4,0.3,1,MICRO
0.17,4,1,1,MICRO
3,4,3,1,MICRO
0.33,4,0.3,1,IMPRESSORA
1,3,1,1,SIHOSP
0.25,3,0.15,1,ERRO
1,4,1,1,ERRO
0.25,3,0.15,1,ERRO
0.5,4,0.3,1,BENNER
1,3,1,1,ERRO
0.65,3,0.3,1,BENNER
0.5,3,0.3,1,SIHOSP
0.25,3,0.15,1,ERRO
0.5,4,30,1,ACESSO
1,4,1,1,ERRO
0.5,3,0.3,1,BENNER
0.17,4,1,1,SIHOSP
1,4,1,1,MICRO
0.17,3,1,1,ERRO
0.25,3,0.15,1,ERRO
0.25,3,0.15,1,ERRO
0.17,3,1,1,ERRO
1,4,1,1,MICRO
0.5,4,0.3,1,MICRO
0.5,4,0.3,1,ERRO
0.25,3,0.15,1,ERRO
1,3,1,1,ACESSO
1,4,1,1,SIHOSP
0.02,3,1,1,ERRO
0.58,3,0.3,1,ERRO
5,3,30,1,SIHOSP
1,3,1,1,BENNER
0.17,4,1,1,MICRO
1,4,1,1,MICRO
2,4,2,1,MICRO
0.25,3,0.1,1,ACESSO
0.33,4,0.3,1,IMPRESSORA
1,3,1,1,ERRO
0.33,4,0.3,1,IMPRESSORA
1,3,1,1,ERRO
3,3,3,1,BENNER
1,4,1,1,ACESSO
0.5,3,0.3,1,MICRO
0.5,3,0.5,1,ERRO
1,4,1,1,MICRO
0.01,3,0.3,1,SIHOSP
0.25,3,0.15,1,BENNER
0.15,3,0.1,1,ERRO
0.25,3,0.15,1,SIHOSP
5,3,3,1,ERRO
1,4,1,1,MICRO
0.5,3,0.3,1,BENNER
0.5,3,0.3,1,ACESSO
0.5,3,0.3,1,ACESSO
0.33,3,0.3,1,IMPRESSORA
0.5,3,0.3,1,MICRO
0.17,3,0.3,1,ERRO
0.5,3,0.3,1,BENNER
2,4,2,1,MICRO
0.5,4,0.2,1,ERRO
0.06,4,3.5,1,MICRO
1,3,1,1,BENNER
0.33,4,0.3,1,IMPRESSORA
0.33,4,0.3,1,IMPRESSORA
0.25,3,0.15,1,SIHOSP
0.02,3,1,1,ERRO
0.5,4,0.15,1,ERRO
0.5,3,0.3,1,SIHOSP
0.25,3,0.15,1,ACESSO
2.28,3,2,1,ERRO
0.17,4,1,1,MICRO
0.25,3,0.15,1,ERRO
0.01,3,0.35,1,SIHOSP
0.17,4,1,1,MICRO
0.02,3,1,1,ERRO
0.5,3,0.3,1,ACESSO
0.08,3,1,1,SIHOSP
0.01,4,0.4,1,MICRO
1,4,1,1,MICRO
0.25,3,0.15,1,SIHOSP
0.01,3,0.3,1,SIHOSP
0.5,3,0.3,1,BENNER
0.5,3,0.3,1,SIHOSP
0.17,4,1,1,MICRO
1,4,1,1,SIHOSP
0.58,3,0.35,1,BENNER
0.25,3,0.15,1,BENNER
1,3,1,1,SIHOSP
1,3,1,1,ERRO
1,4,1,1,BENNER
0.5,4,0.3,1,ERRO
0.5,4,0.3,1,IMPRESSORA
1,4,1,1,ERRO
0.01,3,0.3,1,SIHOSP
0.25,3,0.15,1,BENNER
0.25,3,0.15,1,SIHOSP
1,3,0.5,1,ERRO
8,3,8,1,SIHOSP
0.25,3,0.15,1,SIHOSP
0.02,3,0.1,1,SIHOSP
0.17,3,1,1,SIHOSP
1,4,1,1,MICRO
2,3,2,1,ERRO
1.07,3,1.07,1,ERRO
0.5,3,0.3,1,BENNER
0.25,3,0.15,1,SIHOSP
0.25,3,0.15,1,SIHOSP
0.58,4,0.3,1,ACESSO
0.33,4,1,1,MICRO
1,3,1,1,ERRO
1.25,3,1.25,1,ERRO
0.33,4,0.3,1,IMPRESSORA
0.01,3,0.3,1,SIHOSP
0.17,4,1,1,MICRO
0.17,4,1,1,MICRO
0.5,3,0.3,1,SIHOSP
0.5,3,0.3,1,SIHOSP
2,3,2,1,ERRO
2,4,2,1,ERRO
0.02,4,1,1,ERRO
0.5,3,0.1,1,ERRO
0.17,4,0.3,1,MICRO
0.17,4,0.3,1,IMPRESSORA
0.17,4,1,1,MICRO
1,4,1,1,MICRO
0.08,4,1,1,MICRO
0.04,4,1,1,MICRO
0.08,3,1,1,ACESSO
1,3,1,1,ERRO
2,3,1,1,ERRO
1.25,4,1.2,1,ERRO
0.5,3,0.3,1,SIHOSP
2,4,2,1,ERRO
0.33,4,0.3,1,MICRO
6,4,0,1,MICRO
0.5,4,0.3,1,IMPRESSORA
0.01,3,0.45,1,ACESSO
0.7,3,0.55,1,SIHOSP
0.17,4,1,1,MICRO
0.25,3,0.15,1,SIHOSP
0.17,3,0.1,1,SIHOSP
16,3,0.1,1,IMPRESSORA
0.01,3,0.3,1,ERRO
3,4,2.5,1,MICRO
0.25,3,0.15,1,ERRO
0.75,4,0.75,1,ACESSO
0.01,3,0.3,1,SIHOSP
1,3,1,1,ERRO
1,3,1,1,ERRO
0.33,4,0.3,1,IMPRESSORA
2,3,2,1,ERRO
0.01,3,0.35,1,ERRO
1,4,1,1,ACESSO
0.5,4,0.3,1,ERRO
0.28,3,0.3,1,BENNER
3,4,2.3,1,MICRO
1,2,1,1,ERRO
0.5,4,0.3,1,IMPRESSORA
0.25,3,0.15,1,ERRO
0.5,4,0.3,1,IMPRESSORA
0.01,3,0.25,1,SIHOSP
0.83,2,0.5,1,ERRO
0.33,4,0.3,1,IMPRESSORA
0.5,4,0.3,1,MICRO
0.33,4,0.3,1,IMPRESSORA
0.5,4,0.3,1,IMPRESSORA
1,3,1,1,ACESSO
0.01,3,0.25,1,BENNER
0.93,3,0.56,1,ERRO
0.5,3,0.3,1,ERRO
0.17,4,1,1,MICRO
2.11,3,2,1,ACESSO
0.53,3,1,1,SIHOSP
1,3,1,1,BENNER
0.17,3,0.15,1,BENNER
0.01,3,0.3,1,ERRO
0.17,3,0.15,1,SIHOSP
2.4,3,2.35,1,BENNER
0.5,4,0.3,1,IMPRESSORA
0.5,4,0.15,1,MICRO
0.33,4,0.3,1,IMPRESSORA
4,3,4,1,SIHOSP
0.25,3,0.15,1,BENNER
1.3,3,1.3,1,SIHOSP
0.17,4,1,1,MICRO
0.25,3,0.15,1,BENNER
0.5,4,0.3,1,ERRO
0.33,4,0.3,1,ERRO
0.17,4,1,1,MICRO
1,4,1,1,ACESSO
2.14,3,2.14,1,BENNER
0.01,3,1.2,1,BENNER
0.17,4,1,1,ERRO
122,3,0.45,1,SIHOSP
0.33,3,0.3,1,IMPRESSORA
0.25,3,0.35,1,ACESSO
0.01,3,0.3,1,ACESSO
2,3,2,1,BENNER
0.33,4,0.3,1,IMPRESSORA
70,3,30,1,IMPRESSORA
0.25,3,0.15,1,BENNER
0.17,4,1,1,MICRO
0.25,3,0.15,1,ERRO
0.01,3,0.3,1,SIHOSP
0.5,3,0.5,1,ERRO
2.11,3,2.11,1,SIHOSP
0.5,3,0.3,1,ERRO
2,3,2,1,ERRO
0.5,3,0.3,1,ERRO
1,3,1,1,BENNER
1,3,3,1,ERRO
0.5,4,0.3,1,ERRO
0.17,4,1,1,MICRO
0.5,3,0.3,1,ERRO
0.17,3,1,1,SIHOSP
0.42,3,0.25,1,BENNER
0.5,4,0.3,1,SIHOSP
0.5,1,0.3,1,SIHOSP
1,3,1,1,ACESSO
0.25,3,0.15,1,SIHOSP
2.5,4,0.3,1,MICRO
0.25,3,0.15,1,SIHOSP
6,4,6,1,MICRO
2,3,2,1,SIHOSP
0.5,3,0.3,1,ERRO
0.25,3,0.15,1,ERRO
0.17,3,0.1,1,BENNER
359,3,3.59,1,SIHOSP
0.01,3,0.3,1,SIHOSP
0.01,3,0.3,1,MICRO
1.17,3,1.17,1,BENNER
0.33,4,0.3,1,MICRO
0.55,3,0.3,1,ACESSO
0.25,4,0.15,1,ERRO
0.33,4,0.3,1,IMPRESSORA
1,4,1,1,MICRO
2.41,3,2.4,1,ACESSO
0.01,3,0.35,1,SIHOSP
0.01,3,0.3,1,MICRO
0.17,4,1,1,MICRO
0.25,3,0.15,1,ERRO
0.5,3,0.3,1,ERRO
1,3,1,1,ERRO
0.02,3,1,1,ERRO
0.5,3,0.3,1,SIHOSP
0.17,4,1,1,MICRO
1,3,1,1,ACESSO
1.41,3,1.41,1,ERRO
0.33,3,0.2,1,ERRO
0.5,3,0.3,1,SIHOSP
1,3,1,1,ACESSO
0.5,3,0.3,1,SIHOSP
0.5,4,0.3,1,SIHOSP
1,4,1,1,BENNER
0.17,4,1,1,MICRO
0.03,3,1.5,1,SIHOSP
0.5,3,0.3,1,ACESSO
0.5,3,0.3,1,ERRO
0.01,4,0.3,1,SIHOSP
1,3,1,1,SIHOSP
0.5,4,0.3,1,MICRO
0.17,2,0.1,1,ERRO
0.17,3,0.1,1,ERRO
0.17,2,0.1,1,ERRO
1,4,1,1,ACESSO
0.04,4,1,1,MICRO
0.01,4,0.25,1,SIHOSP
0.01,3,0.3,1,ERRO
0.04,4,1,1,MICRO
0.5,4,0.3,1,ERRO
2,3,2,1,ACESSO
7,3,3,1,BENNER
0.01,3,0.3,1,SIHOSP
0.5,4,0.3,1,BENNER
0.17,4,1,1,ERRO
0.17,4,1,1,MICRO
0.17,4,0.3,1,IMPRESSORA
1,4,1,1,ERRO
0.01,3,0.2,1,ACESSO
0.17,4,1,1,MICRO
0.01,4,1,1,MICRO
2,4,2,1,MICRO
0.01,4,0.3,1,MICRO
0.17,4,1,1,MICRO
2,4,2,1,MICRO
0.17,4,1,1,SIHOSP
1,3,1,1,ERRO
2,4,2,1,MICRO
0.01,3,0.3,1,ACESSO
1,3,1,1,BENNER
4,3,4,1,SIHOSP
8,3,8,1,ACESSO
0.33,4,0.2,1,IMPRESSORA
0.5,4,0.3,1,IMPRESSORA
0.17,4,0.1,1,IMPRESSORA
0.17,4,1,1,MICRO
0.17,3,0.1,1,SIHOSP
0.33,4,0.2,1,IMPRESSORA
0.5,3,0.3,1,SIHOSP
0.5,4,0.3,1,BENNER
0.5,4,0.3,1,ACESSO
1,4,1,1,SIHOSP
1,4,1,1,MICRO
0.5,4,0.3,1,MICRO
0.5,4,0.3,1,IMPRESSORA
0.5,3,0.3,1,ACESSO
0.17,4,1,1,MICRO
1,4,1,1,IMPRESSORA
2,4,2,1,ERRO
1,3,1,1,BENNER
0.17,4,1,1,MICRO
0.75,4,0.75,1,ACESSO
0.01,3,0.45,1,SIHOSP
0.5,4,0.3,1,IMPRESSORA
0.17,4,0.1,1,SIHOSP
1,4,1,1,SIHOSP
0.33,4,0.3,1,IMPRESSORA
0.5,4,0.3,1,MICRO
0.5,4,0.3,1,IMPRESSORA
0.17,4,1,1,MICRO
1,3,4,1,ERRO
0.5,3,0.3,1,ERRO
0.17,4,1,1,MICRO
0.78,3,47,1,BENNER
1.17,3,1.17,1,BENNER
0.42,3,0.25,1,SIHOSP
0.17,4,1,1,MICRO
0.52,3,0.3,1,MICRO
5,3,4,1,ERRO
0.67,4,0.4,1,IMPRESSORA
0.67,0,40,1,BENNER
0.17,4,0.1,1,IMPRESSORA
0.01,4,0.3,1,SIHOSP
0.17,4,1,1,MICRO
0.17,4,1,1,SIHOSP
0.58,3,0.35,1,BENNER
0.5,4,0.3,1,IMPRESSORA
0.33,4,0.2,1,IMPRESSORA
0.25,4,15,1,MICRO
0.25,3,0.15,1,ACESSO
0.01,4,0.3,1,MICRO
1,4,1,1,MICRO
0.5,3,0.3,1,ACESSO
0.17,4,1,1,MICRO
0.17,4,0.1,1,MICRO
0.5,4,0.3,1,SIHOSP
0.33,4,0.2,1,IMPRESSORA
1,4,1,1,ACESSO
2.25,4,2.5,1,MICRO
2,4,2,1,MICRO
0.01,3,0.2,1,IMPRESSORA
0.17,1,0.1,1,SIHOSP
1,4,1,1,ACESSO
0.5,3,0.3,1,BENNER
0.17,4,0.1,1,MICRO
0.5,3,0.3,1,ERRO
0.33,4,0.2,1,IMPRESSORA
0.5,4,0.3,1,MICRO
1,3,1,1,MICRO
0.5,3,0.3,1,ERRO
0.17,4,0.1,1,IMPRESSORA
0.33,4,0.2,1,IMPRESSORA
0.25,4,0.15,1,BENNER
0.33,4,0.2,1,IMPRESSORA
1,4,1,1,SIHOSP
0.02,3,1,1,SIHOSP
0.33,3,0.2,1,IMPRESSORA
1,3,1,1,SIHOSP
0.17,4,0.1,1,IMPRESSORA
0.33,4,0.2,1,IMPRESSORA
0.17,4,1,1,MICRO
0.67,4,1,1,ERRO
3,3,3,1,SIHOSP
0.33,4,0.2,1,IMPRESSORA
0.25,3,0.15,1,BENNER
0.25,4,0.15,1,SIHOSP
0.08,3,0.5,1,BENNER
2.5,4,3.5,1,MICRO
0.02,3,1,1,SIHOSP
0.01,4,0.3,1,MICRO
0.93,4,0.56,1,SIHOSP
0.5,4,0.3,1,IMPRESSORA
0.17,4,1,1,MICRO
1.53,3,1.53,1,ERRO
0.42,3,0.25,1,BENNER
0.33,4,0.2,1,IMPRESSORA
1,3,1,1,BENNER
0.42,3,0.25,1,BENNER
0.17,4,0.1,1,SIHOSP
3.08,4,3.08,1,SIHOSP
358,4,4,1,SIHOSP
0.58,4,0.35,1,BENNER
1,4,1,1,MICRO
5.51,4,5.51,1,SIHOSP
2.2,4,1.2,1,MICRO
1,4,1,1,ERRO
3,3,3,1,BENNER
0.5,4,0.3,1,MICRO
0.25,3,0.15,1,ERRO
0.5,4,0.3,1,IMPRESSORA
0.25,3,0.15,1,ERRO
0.42,1,0.25,1,BENNER
0.33,4,0.2,1,IMPRESSORA
0.01,3,0.2,1,SIHOSP
0.33,4,0.2,1,IMPRESSORA
0.25,3,0.15,1,BENNER
0.5,4,0.3,1,IMPRESSORA
0.58,3,0.35,1,BENNER
0.58,3,0.35,1,SIHOSP
1,3,2,1,ERRO
0.01,4,0.3,1,MICRO
0.25,3,0.15,1,BENNER
0.01,3,0.3,1,ACESSO
0.01,4,0.3,1,MICRO
0.5,4,0.3,1,SIHOSP
0.5,3,0.3,1,IMPRESSORA
0.01,3,0.2,1,SIHOSP
0.17,4,0.1,1,IMPRESSORA
0.17,3,0.1,1,SIHOSP
0.01,4,0.3,1,MICRO
1,3,1,1,ERRO
0.5,3,0.3,1,ERRO
0.17,4,0.1,1,IMPRESSORA
0.5,4,0.3,1,IMPRESSORA
1.3,4,0.3,1,MICRO
1,3,1,1,ERRO
0.02,4,1.3,1,IMPRESSORA
2,4,2,1,MICRO
0.17,4,0.1,1,IMPRESSORA
0.5,4,0.3,1,BENNER
0.33,4,0.2,1,IMPRESSORA
0.5,4,0.3,1,MICRO
0.58,4,1,1,SIHOSP
0.25,3,0.15,1,ERRO
0.17,3,1,1,ERRO
1,4,1,1,ERRO
0.25,4,0.15,1,SIHOSP
0.02,3,1,1,BENNER
0.01,4,0.3,1,SIHOSP
1,4,1,1,BENNER
1,4,1,1,ERRO
0.01,4,0.45,1,SIHOSP
1,3,1,1,BENNER
0.33,4,0.2,1,IMPRESSORA
0.5,3,0.3,1,ACESSO
0.17,3,0.15,1,SIHOSP
0.33,3,0.2,1,ERRO
1,4,1,1,MICRO
0.17,4,0.1,1,IMPRESSORA
0.25,4,0.15,1,BENNER
0.17,3,0.1,1,SIHOSP
1,4,1,1,MICRO
10,3,12,1,SIHOSP
5,4,5,1,MICRO
0.33,4,0.2,1,IMPRESSORA
1.2,4,1.3,1,MICRO
2,4,2,1,ERRO
1.3,3,0.3,1,MICRO
0.5,4,0.3,1,MICRO
1,4,1,1,IMPRESSORA
0.25,4,0.15,1,MICRO
1,3,1,1,ERRO
1,4,0,1,IMPRESSORA
0.17,4,0.1,1,BENNER
0.04,4,1.5,1,MICRO
1,1,1,1,BENNER
0.33,4,0.2,1,IMPRESSORA
1.5,4,0.3,1,MICRO
0.01,3,0.35,1,MICRO
0.5,4,0.3,1,SIHOSP
1,4,1,1,SIHOSP
0.33,4,0.2,1,MICRO
0.08,4,0.5,1,BENNER
0.5,4,0.3,1,SIHOSP
1,3,1,1,ACESSO
0.33,4,0.2,1,IMPRESSORA
0.17,3,0.1,1,SIHOSP
0.33,4,0.2,1,IMPRESSORA
1,4,1,1,BENNER
1,4,1,1,BENNER
1,1,1,1,BENNER
3.5,4,2.5,1,MICRO
0.17,4,0.1,1,IMPRESSORA
0.17,4,0.1,1,IMPRESSORA
0.01,4,0.3,1,ACESSO
0.5,4,0.3,1,ERRO
0.5,4,0.3,1,MICRO
0.17,4,0.1,1,MICRO
0.17,4,0.1,1,BENNER
