TEMPO,TIPO,ANO
6.52,MICRO,2009
5.35,ERRO,2009
2.46,ERRO,2009
3.46,IMPRESSORA,2009
2.31,ACESSO,2009
2.31,SIHOSP,2009
1.34,ERRO,2009
3.31,ERRO,2009
20.57,SIHOSP,2009
20.57,MICRO,2009
6.51,ERRO,2009
30.47,IMPRESSORA,2009
68.37,SIHOSP,2009
68.37,SIHOSP,2009
68.37,SIHOSP,2009
68.37,SIHOSP,2009
1.48,SIHOSP,2009
33.58,MICRO,2009
20.57,MICRO,2009
20.56,MICRO,2009
33.55,MICRO,2009
33.55,MICRO,2009
33.52,MICRO,2009
33.51,MICRO,2009
2.55,MICRO,2009
46.57,SIHOSP,2009
35.34,SIHOSP,2009
35.34,SIHOSP,2009
33.51,MICRO,2009
2.51,MICRO,2009
3.55,MICRO,2009
8.55,ERRO,2009
34.53,ERRO,2009
4.55,MICRO,2009
4.38,SIHOSP,2009
22.29,SIHOSP,2009
35.29,MICRO,2009
35.29,IMPRESSORA,2009
35.29,IMPRESSORA,2009
4.52,MICRO,2009
2.57,IMPRESSORA,2009
2.55,SIHOSP,2009
3.56,MICRO,2009
3.55,IMPRESSORA,2009
3.54,ACESSO,2009
33.3,MICRO,2009
2.51,IMPRESSORA,2009
2.51,MICRO,2009
2.48,IMPRESSORA,2009
2.37,MICRO,2009
2.37,MICRO,2009
4.48,MICRO,2009
2.36,MICRO,2009
17.49,MICRO,2009
1.63,MICRO,2009
3.62,IMPRESSORA,2009
2.61,ERRO,2009
1.6,MICRO,2009
5.6,ERRO,2009
3.59,ERRO,2009
3.59,SIHOSP,2009
2.59,SIHOSP,2009
2.59,SIHOSP,2009
2.59,SIHOSP,2009
3.58,IMPRESSORA,2009
2.53,MICRO,2009
21.48,ERRO,2009
3.45,MICRO,2009
3.45,MICRO,2009
3.45,MICRO,2009
1.19,SIHOSP,2009
1.19,SIHOSP,2009
15.31,ACESSO,2009
64.49,MICRO,2009
3.53,ACESSO,2009
3.53,MICRO,2009
5.52,SIHOSP,2009
3.51,IMPRESSORA,2009
3.51,SIHOSP,2009
15.5,MICRO,2009
1.23,MICRO,2009
1.22,IMPRESSORA,2009
3.53,MICRO,2009
3.49,SIHOSP,2009
3.49,MICRO,2009
3.49,MICRO,2009
3.48,MICRO,2009
3.48,SIHOSP,2009
3.47,MICRO,2009
3.47,ERRO,2009
3.47,MICRO,2009
1.21,SIHOSP,2009
2.64,IMPRESSORA,2009
33.62,MICRO,2009
20.62,SIHOSP,2009
2.61,IMPRESSORA,2009
2.6,IMPRESSORA,2009
2.6,MICRO,2009
2.6,IMPRESSORA,2009
2.6,MICRO,2009
1.18,MICRO,2009
44.45,ERRO,2009
3.44,SIHOSP,2009
